distance_km,traffic_level,weather,peak_hour,special_event,passenger_density,historical_delay,avg_speed,predicted_eta
5.98,8,Clear,0,1,61,14,43,62.2
15.27,4,Rain,0,1,78,12,56,76.9
29.67,4,Rain,1,0,58,14,45,99.71
3.1,3,Rain,0,0,26,5,31,27.83
22.14,8,Rain,0,1,72,9,44,95.87
18.11,7,Rain,1,1,92,15,44,102.34
11.12,3,Clear,1,1,64,14,24,66.98
27.54,4,Rain,0,0,68,8,52,82.47
11.95,4,Clear,1,1,81,5,49,64.51
9.4,10,Fog,1,0,25,5,48,65.02
22.8,3,Rain,1,1,32,9,37,91.88
33.3,6,Fog,1,0,22,6,31,97.76
19.56,4,Fog,1,0,48,7,36,69.64
34.35,7,Rain,0,1,68,2,57,107.0
4.96,10,Rain,1,0,43,3,28,58.82
32.78,3,Rain,0,0,77,7,24,89.54
17.26,9,Rain,1,0,82,8,21,85.9
20.25,1,Fog,1,0,70,6,25,66.1
3.42,8,Fog,1,0,62,4,24,52.04
33.61,5,Rain,1,1,75,9,25,116.43
33.68,4,Fog,0,0,88,3,28,84.83
21.49,4,Fog,0,1,38,10,39,78.33
30.16,1,Rain,0,1,95,1,46,86.08
6.16,10,Rain,0,0,26,4,21,48.91
11.97,8,Clear,0,0,85,2,51,51.81
20.32,2,Rain,1,0,28,5,52,67.96
23.42,2,Rain,1,1,80,12,22,97.27
25.17,10,Fog,0,1,35,13,51,101.73
19.95,7,Clear,1,1,72,6,20,87.95
13.75,5,Rain,0,1,79,14,60,77.3
23.52,9,Clear,1,1,65,7,59,97.82
26.7,7,Clear,0,0,96,10,38,82.25
20.96,8,Clear,1,1,37,7,33,89.52
25.65,5,Rain,0,1,65,0,31,82.36
15.82,4,Fog,0,0,86,2,20,50.56
9.2,2,Fog,1,1,95,10,33,65.07
30.94,4,Fog,1,0,38,4,26,85.89
29.87,2,Rain,1,1,62,11,28,105.67
28.19,5,Rain,1,1,81,4,22,102.05
13.48,10,Clear,0,0,56,10,56,63.87
11.91,8,Clear,0,1,96,12,39,72.27
7.55,3,Clear,0,0,41,2,33,25.71
28.83,9,Fog,0,0,95,8,26,93.41
33.71,4,Clear,1,0,80,9,23,97.74
3.4,3,Fog,1,1,60,9,25,55.54
8.74,7,Clear,0,0,99,7,34,49.08
12.4,5,Rain,1,0,64,4,37,62.85
23.18,8,Rain,1,0,20,6,50,87.44
14.65,8,Rain,0,1,79,13,20,86.52
12.26,2,Clear,1,1,36,4,28,57.19
23.73,2,Clear,0,0,76,15,36,67.1
6.4,3,Clear,0,0,80,4,60,28.7
19.01,3,Clear,1,1,84,8,49,79.72
7.49,9,Rain,0,1,83,7,36,68.82
11.27,3,Fog,0,1,45,11,21,58.82
11.43,2,Fog,0,0,37,3,49,34.6
34.7,1,Fog,1,1,28,12,43,106.44
32.71,5,Clear,1,0,83,2,32,90.56
27.93,6,Fog,0,0,56,8,53,84.66
21.9,1,Rain,0,1,75,2,48,71.31
26.49,10,Fog,0,1,75,10,21,105.27
22.95,5,Clear,1,0,57,0,35,69.49
26.03,9,Fog,1,1,67,3,48,105.58
7.51,6,Fog,1,0,93,0,41,49.69
21.53,3,Fog,1,1,75,5,51,83.17
19.4,8,Clear,0,1,38,0,47,70.95
30.39,7,Clear,0,1,96,8,21,99.76
17.53,1,Clear,0,0,61,11,55,50.2
33.68,10,Clear,1,1,99,9,52,123.26
6.91,8,Rain,1,0,20,5,36,55.17
26.8,5,Fog,1,0,42,13,53,91.4
2.68,5,Rain,1,1,75,1,54,53.22
32.13,7,Rain,1,1,20,8,34,114.12
4.99,6,Rain,0,1,88,15,59,65.62
25.01,8,Clear,1,1,65,9,48,99.77
8.52,1,Fog,1,1,87,13,30,65.01
28.21,6,Clear,1,1,33,7,51,97.77
32.17,3,Clear,1,1,57,1,50,94.85
25.21,8,Clear,0,0,72,1,46,73.54
21.23,3,Clear,1,1,32,4,23,73.85
29.6,4,Clear,0,1,59,4,39,85.9
27.74,2,Rain,1,0,63,4,36,80.09
13.86,5,Clear,1,1,87,9,51,73.98
13.35,3,Rain,1,0,94,6,20,64.34
24.47,8,Fog,0,0,83,6,39,80.45
18.66,5,Rain,1,1,64,1,30,82.86
26.89,9,Fog,0,1,23,0,55,91.31
7.67,2,Clear,0,1,72,12,29,47.3
20.02,8,Fog,1,0,62,13,25,89.97
11.78,9,Fog,1,0,53,8,48,70.55
12.06,7,Rain,1,0,86,8,54,71.7
5.98,1,Clear,1,0,40,0,58,25.81
32.31,5,Rain,0,1,100,12,60,108.77
22.55,5,Rain,1,1,47,0,30,85.69
15.9,2,Rain,0,0,80,13,26,62.61
2.14,7,Rain,0,0,79,9,52,44.2
3.05,3,Fog,1,1,73,9,55,54.79
10.53,8,Clear,0,0,91,5,31,49.54
19.15,7,Fog,0,0,81,5,54,67.24
22.89,6,Rain,0,0,28,0,52,65.96
34.05,9,Fog,0,0,33,2,55,93.12
13.46,9,Rain,0,0,83,10,59,70.49
16.48,8,Fog,1,1,91,3,32,85.9
34.97,4,Fog,0,0,65,3,57,87.75
28.83,4,Clear,1,1,80,7,38,95.42
28.83,1,Fog,0,1,25,13,26,84.4
18.39,4,Rain,0,1,29,13,53,78.55
25.55,4,Rain,1,0,98,8,55,88.42
9.32,7,Clear,1,1,99,0,56,62.32
21.41,2,Clear,1,0,49,6,46,61.87
30.85,10,Rain,1,0,23,11,38,109.87
15.95,6,Fog,1,1,50,15,40,88.9
6.66,9,Clear,0,1,67,2,20,53.48
24.17,2,Fog,1,0,35,15,56,82.67
25.06,8,Rain,0,1,27,4,41,90.49
29.4,2,Fog,0,1,99,2,25,85.7
4.82,1,Clear,0,0,58,11,20,28.51
13.07,10,Clear,1,1,53,8,32,83.51
20.79,3,Rain,1,0,56,15,32,81.32
5.21,2,Rain,0,0,70,5,56,32.19
34.56,4,Clear,1,1,91,5,34,106.94
11.5,4,Rain,1,0,72,1,40,53.53
9.1,5,Rain,1,0,24,6,53,54.92
8.5,7,Clear,1,0,34,8,28,54.21
28.67,9,Fog,1,1,26,14,53,115.78
24.68,10,Clear,1,0,95,7,55,93.75
7.99,3,Fog,0,0,54,9,55,39.08
29.61,8,Rain,0,0,44,1,47,85.71
5.78,5,Rain,1,1,78,2,40,61.44
14.54,1,Fog,0,0,78,3,58,41.25
31.64,7,Clear,0,1,80,0,31,91.12
20.41,2,Rain,0,1,72,15,31,81.47
26.1,9,Rain,0,1,73,7,50,103.64
30.71,5,Fog,1,0,78,15,52,104.38
3.0,8,Rain,1,1,40,10,56,69.12
23.69,10,Fog,0,0,43,14,32,88.96
10.61,7,Fog,0,0,39,10,49,53.66
32.58,2,Fog,0,0,87,10,53,86.28
23.73,6,Rain,1,1,21,12,36,102.33
23.65,4,Clear,0,1,77,12,42,81.86
11.28,9,Rain,0,1,35,8,41,72.83
8.58,2,Fog,0,0,28,3,52,30.91
32.99,5,Fog,0,1,70,15,39,108.66
9.93,4,Fog,1,0,50,3,36,49.49
27.77,3,Fog,0,0,37,14,51,79.91
21.17,5,Clear,0,1,30,12,25,78.56
16.66,8,Clear,0,0,85,14,34,71.6
25.14,3,Rain,1,0,61,8,21,82.26
11.6,1,Clear,0,1,90,3,54,44.95
5.0,8,Rain,1,1,94,2,53,69.44
15.33,6,Fog,0,1,64,4,41,68.64
31.37,4,Clear,1,1,30,12,26,104.59
30.81,5,Clear,0,1,54,14,46,98.57
34.21,8,Clear,0,1,51,8,28,104.3
18.65,2,Clear,1,1,58,15,33,78.3
26.28,8,Rain,1,0,73,0,44,89.69
34.16,10,Rain,0,1,93,11,31,125.61
33.0,7,Clear,0,1,90,6,59,104.07
5.79,1,Clear,1,0,87,5,48,33.01
5.99,1,Rain,0,0,51,1,38,26.0
2.99,3,Rain,0,0,41,10,25,35.29
4.64,5,Rain,0,1,83,1,30,49.58
13.74,4,Fog,0,1,65,15,30,71.86
31.91,4,Rain,1,1,22,0,28,99.36
31.23,9,Clear,0,0,41,9,45,89.17
27.02,6,Clear,0,1,47,13,23,93.66
21.27,4,Fog,1,1,53,2,59,82.63
33.31,9,Fog,1,1,30,5,20,117.31
14.97,4,Rain,0,1,22,4,45,61.14
23.29,2,Rain,1,0,48,1,58,70.19
5.51,1,Fog,0,1,47,1,50,34.79
31.96,2,Rain,0,1,65,13,23,102.05
30.21,4,Rain,1,0,28,3,59,89.58
4.47,10,Rain,0,1,79,2,32,61.95
3.71,6,Clear,1,0,69,8,51,46.23
34.38,4,Clear,1,1,54,10,32,106.7
33.23,7,Fog,0,1,25,15,26,111.19
33.18,10,Fog,0,0,26,10,29,102.64
21.7,6,Rain,1,1,58,10,40,97.53
10.95,3,Rain,0,1,35,14,54,65.34
30.27,9,Fog,0,1,25,15,29,110.02
6.24,10,Fog,1,1,79,0,41,68.45
6.04,6,Rain,0,1,78,5,45,56.45
9.8,5,Fog,0,0,25,8,21,44.14
31.25,8,Fog,1,0,30,8,39,103.33
5.38,7,Clear,1,1,30,9,54,61.28
19.84,6,Fog,1,0,49,10,32,78.18
11.76,5,Clear,1,0,51,4,58,50.86
18.65,2,Fog,1,0,94,4,44,64.77
20.35,3,Fog,0,0,100,2,36,60.16
29.94,2,Fog,1,0,92,12,44,92.11
3.13,1,Fog,0,0,35,8,59,25.41
26.41,5,Clear,0,1,45,13,44,88.54
4.3,9,Fog,1,1,47,7,39,69.02
20.7,4,Fog,0,0,71,8,26,66.97
4.82,6,Fog,1,0,62,9,59,50.86
34.1,2,Clear,0,0,22,9,52,76.02
25.03,9,Fog,0,0,40,0,58,75.68
9.49,10,Fog,1,1,71,9,27,82.1
13.37,5,Fog,0,1,30,3,26,59.31
7.27,6,Fog,0,0,53,12,35,47.46
18.6,6,Clear,1,0,58,1,20,63.85
33.08,8,Fog,0,1,54,9,40,108.19
25.89,6,Clear,0,0,28,10,57,71.89
5.53,5,Clear,1,1,46,9,24,56.14
14.85,9,Fog,0,0,31,9,35,67.62
23.9,2,Fog,1,1,43,6,52,83.83
26.06,2,Clear,0,1,79,3,39,72.86
9.92,2,Fog,0,0,74,0,55,31.91
24.29,9,Rain,0,0,88,7,37,88.49
6.57,4,Clear,0,0,27,0,39,24.61
18.55,8,Clear,0,0,66,9,39,67.42
24.03,10,Rain,1,0,63,8,38,98.77
18.07,5,Clear,0,1,76,8,22,70.05
22.01,7,Rain,1,1,83,13,59,107.18
24.43,6,Fog,0,1,46,8,44,89.63
11.1,7,Rain,1,0,78,5,42,65.62
4.56,5,Clear,0,1,26,5,46,39.88
11.2,2,Rain,1,0,97,7,41,59.89
13.32,9,Clear,1,1,44,2,35,75.72
16.78,9,Fog,0,0,85,5,59,70.06
12.23,9,Clear,1,0,41,6,55,64.83
29.73,2,Fog,0,1,97,15,36,98.68
31.68,2,Rain,0,1,88,13,32,101.29
11.38,7,Rain,1,1,85,8,42,83.54
29.22,2,Rain,0,0,73,5,24,76.92
31.9,3,Rain,1,1,81,13,49,114.7
32.25,7,Rain,1,1,21,9,50,117.69
10.49,1,Fog,1,0,73,15,30,58.33
3.11,7,Clear,0,1,42,9,31,47.97
10.6,5,Rain,1,1,22,10,47,74.69
27.35,9,Fog,0,1,22,6,51,95.18
18.68,6,Fog,0,0,28,10,56,65.76
15.76,3,Rain,1,0,29,8,35,65.51
15.25,7,Clear,0,0,91,7,54,60.8
16.43,7,Clear,0,0,44,7,38,59.43
5.47,8,Fog,1,0,38,7,36,53.45
23.59,3,Fog,1,1,57,1,57,84.23
20.57,10,Fog,0,0,94,8,26,81.69
3.19,9,Fog,0,1,89,2,40,52.44
5.6,10,Clear,1,0,33,2,49,50.07
28.34,8,Fog,1,1,59,14,30,117.73
14.28,6,Fog,1,1,60,4,36,76.29
10.03,1,Fog,1,1,96,6,48,61.55
5.76,9,Clear,0,0,89,9,35,49.76
19.8,9,Fog,1,0,77,1,32,82.28
6.31,5,Fog,1,1,85,3,36,59.94
10.67,4,Clear,0,1,78,11,55,57.7
23.57,2,Fog,0,0,22,12,57,67.41
27.67,1,Rain,1,0,73,15,38,90.74
32.94,4,Fog,0,1,68,2,22,93.82
27.71,5,Fog,0,1,91,3,22,88.45
12.14,8,Clear,1,1,50,13,35,79.21
19.5,5,Rain,0,1,34,9,39,78.51
29.33,4,Rain,0,0,92,3,57,81.16
27.46,1,Fog,0,0,45,13,33,74.25
34.31,9,Rain,0,1,41,2,28,110.29
28.64,6,Rain,0,1,53,7,30,99.22
31.92,10,Rain,1,0,76,13,34,120.39
20.06,5,Fog,1,0,25,0,34,64.75
34.33,6,Rain,1,1,63,12,38,123.74
24.67,9,Fog,0,0,94,8,46,85.96
13.43,3,Rain,1,0,25,8,56,58.06
7.89,3,Fog,1,1,38,3,60,55.59
27.94,4,Clear,0,0,93,14,45,80.77
26.48,7,Clear,1,1,30,2,49,92.83
13.96,7,Fog,0,1,65,12,52,78.45
25.51,2,Fog,0,1,23,6,28,77.15
31.18,2,Clear,0,0,83,9,21,77.47
3.72,9,Fog,0,1,39,13,32,62.53
29.6,6,Fog,0,0,23,7,34,81.04
10.17,1,Rain,1,0,77,13,32,59.7
25.37,6,Clear,0,0,83,15,29,83.35
32.07,4,Clear,1,0,41,12,54,91.14
31.85,2,Clear,1,0,82,2,25,80.19
16.44,2,Rain,1,0,29,2,46,56.61
33.9,3,Clear,1,1,43,0,23,92.39
10.88,5,Fog,0,0,94,8,49,51.92
5.09,8,Fog,0,1,65,15,48,65.75
2.38,3,Fog,0,0,82,2,24,25.63
6.11,6,Fog,1,1,78,10,31,69.19
23.41,5,Fog,1,1,53,10,30,97.56
7.62,7,Rain,1,1,82,5,20,71.57
29.39,5,Fog,1,1,63,6,54,101.73
21.48,1,Clear,1,0,80,11,47,70.25
21.26,1,Rain,1,0,99,13,37,80.18
11.6,7,Fog,0,0,26,0,23,46.95
5.24,9,Fog,1,0,99,10,58,63.41
5.28,9,Clear,1,1,89,1,56,62.78
8.7,4,Fog,1,0,74,1,54,49.51
22.82,1,Fog,0,1,21,7,25,69.06
28.32,3,Fog,0,0,82,9,56,79.23
7.65,8,Rain,0,0,66,3,49,51.38
2.76,5,Rain,1,1,28,14,31,65.7
25.9,2,Fog,1,1,43,0,58,80.65
28.07,6,Fog,1,1,22,6,39,101.41
31.72,3,Fog,0,1,95,4,28,91.46
29.23,9,Rain,1,0,65,5,40,102.03
11.58,2,Rain,0,1,50,4,36,53.63
19.27,6,Rain,0,0,69,5,25,68.7
15.13,10,Fog,1,0,96,5,36,81.33
15.28,5,Rain,1,1,33,2,22,76.42
9.29,10,Rain,0,1,48,8,60,72.3
16.58,9,Fog,0,0,81,9,48,74.74
23.22,6,Fog,1,0,80,12,30,88.39
4.31,7,Clear,0,0,44,10,30,40.49
16.5,7,Rain,1,0,64,13,41,82.42
10.67,1,Fog,1,1,40,11,49,62.64
18.68,3,Clear,1,1,90,2,27,74.17
18.57,2,Clear,1,1,52,15,42,79.51
2.48,5,Fog,0,0,32,1,20,26.35
2.8,6,Clear,0,0,100,14,55,41.63
31.98,1,Rain,1,0,72,1,21,85.91
27.58,9,Clear,0,1,90,8,54,97.91
9.07,7,Rain,1,0,84,13,22,70.46
21.47,5,Clear,1,1,85,1,26,81.34
24.92,8,Rain,1,0,24,10,27,94.44
20.63,1,Rain,0,1,33,4,60,68.12
4.38,4,Clear,1,0,31,14,58,46.19
32.96,1,Fog,0,0,76,15,43,88.72
12.02,4,Clear,0,1,20,13,55,57.31
27.77,5,Clear,0,0,23,0,31,62.82
12.03,3,Clear,0,0,55,15,48,47.48
5.09,8,Rain,0,0,82,15,20,57.03
10.26,5,Fog,1,1,53,8,27,68.35
6.45,9,Clear,1,0,74,1,54,49.38
5.9,10,Rain,1,1,79,10,26,83.27
33.14,4,Clear,0,0,99,1,29,76.73
26.25,4,Clear,1,0,100,14,21,90.17
24.92,3,Fog,0,0,100,8,30,73.69
2.3,5,Clear,0,0,38,10,53,28.78
25.32,7,Rain,0,0,87,4,53,82.89
27.76,6,Rain,0,1,50,5,47,94.45
6.53,7,Fog,1,1,57,8,23,67.7
16.37,6,Clear,1,0,97,9,56,70.29
18.26,9,Clear,0,0,71,2,49,62.44
7.07,8,Fog,0,1,69,0,44,55.92
31.69,5,Rain,1,0,68,11,59,104.79
30.46,10,Rain,1,1,31,0,60,111.35
26.84,9,Clear,1,1,82,5,45,103.16
17.34,3,Clear,1,0,37,4,41,56.52
31.79,9,Clear,1,0,27,3,52,92.95
14.02,10,Fog,1,0,86,10,31,80.51
5.92,9,Rain,1,0,52,13,24,69.86
6.79,2,Fog,0,1,43,4,31,41.18
28.73,2,Fog,0,0,32,12,34,77.36
21.67,8,Fog,0,1,87,4,20,88.76
16.99,3,Fog,1,0,89,6,43,64.82
16.51,5,Fog,0,1,92,13,33,78.63
2.21,2,Clear,1,1,31,6,26,39.16
34.51,3,Clear,0,0,72,9,45,83.08
13.44,3,Fog,1,1,77,8,35,72.51
33.61,1,Rain,1,0,92,0,39,89.65
23.8,9,Fog,1,0,99,9,58,95.72
14.89,1,Fog,0,0,68,3,26,43.24
23.46,7,Clear,0,0,81,12,29,76.79
11.24,3,Clear,1,0,85,5,24,50.54
7.85,6,Rain,0,0,70,12,51,53.38
24.05,9,Clear,0,0,71,9,40,81.8
30.09,8,Fog,0,1,31,7,32,99.89
25.79,5,Fog,0,1,32,1,46,80.45
15.39,7,Clear,0,0,59,12,36,62.1
5.37,5,Fog,1,1,43,7,40,58.81
26.73,6,Rain,0,1,77,0,57,89.3
33.29,1,Rain,1,1,74,3,57,99.81
6.23,10,Rain,1,1,37,11,40,78.78
34.8,5,Fog,0,0,35,3,34,87.65
33.07,8,Clear,0,1,87,15,29,114.46
15.29,9,Clear,0,0,62,13,24,68.65
29.32,2,Fog,0,0,45,10,29,78.3
32.69,7,Fog,0,0,83,14,22,100.96
20.28,6,Rain,0,0,61,8,31,73.81
22.45,7,Rain,1,0,27,14,50,91.8
25.17,5,Fog,1,0,39,12,49,88.43
24.24,2,Rain,1,0,88,12,51,86.62
32.03,6,Fog,1,1,39,2,33,104.91
15.0,9,Clear,0,1,60,8,40,74.02
21.52,6,Fog,0,1,90,9,60,85.55
17.7,8,Clear,1,0,24,9,51,71.46
33.9,1,Fog,0,1,80,7,54,92.38
5.82,2,Rain,1,1,26,3,47,48.81
23.66,9,Fog,0,0,98,6,26,85.43
9.3,3,Rain,0,1,69,9,52,58.14
9.78,7,Rain,1,1,47,15,34,82.26
7.49,9,Rain,0,1,94,14,49,76.48
8.86,2,Rain,1,0,61,9,23,51.42
30.85,3,Fog,0,1,39,4,50,86.1
22.32,2,Clear,0,1,54,8,22,68.48
20.04,5,Fog,1,1,71,14,60,97.04
10.42,5,Rain,0,0,94,8,31,54.02
17.5,6,Fog,1,1,88,14,31,93.64
10.4,2,Fog,1,0,85,6,25,49.85
31.18,6,Clear,1,1,78,8,32,105.7
20.67,7,Rain,0,0,61,14,39,81.49
2.87,6,Rain,1,1,100,14,39,73.11
7.93,10,Clear,0,1,40,5,56,57.84
4.61,2,Rain,1,1,88,11,40,59.52
20.37,4,Rain,1,1,54,6,50,87.55
16.93,7,Clear,0,0,67,6,43,59.12
11.49,1,Fog,1,0,88,6,34,52.34
29.47,3,Clear,1,0,69,1,20,77.16
33.71,6,Rain,0,0,58,4,43,92.6
13.54,4,Fog,0,1,78,3,50,61.48
33.75,9,Fog,1,1,81,7,48,123.38
2.97,8,Rain,0,0,41,10,37,46.7
3.06,5,Clear,0,0,87,4,41,28.35
32.7,10,Clear,0,0,26,1,26,85.55
11.32,5,Rain,0,0,21,10,56,54.15
31.83,5,Rain,0,1,98,3,50,99.91
22.47,3,Clear,0,1,32,6,46,69.54
5.32,1,Rain,1,0,83,14,47,49.77
31.98,3,Clear,0,1,56,10,27,92.05
22.02,3,Fog,0,1,59,0,48,68.18
23.74,6,Clear,1,0,27,12,28,81.38
